id,src,dst,frequency_per_year_2023,distance_km,annual_co2_tonnes_2023
76,AGP,MXP,365.0,1485.8,8676.9
77,AGP,ORY,1095.0,1451.4,25428.2
78,AGP,OSL,730.0,2832.1,33079.2
79,AGP,PMI,1825.0,709.1,20706.5
80,AGP,PRG,365.0,2116.1,12358.3
81,AGP,STN,730.0,1731.8,20227.7
82,AGP,STR,730.0,1738.9,20310.1
83,AGP,SVO,730.0,3781.2,44164.5
84,AGP,TXL,730.0,2245.9,26231.8
85,AGP,VIE,730.0,2135.5,24942.3
86,AGP,WAW,365.0,2632.0,15370.6
87,AGP,YUL,365.0,5705.2,33318.1
88,AGP,ZRH,365.0,1607.9,9390.2
89,AKL,BKK,730.0,9555.4,111606.8
90,AKL,BNE,2555.0,2295.5,93839.0
91,AKL,CAN,365.0,9300.1,54312.5
92,AKL,HKG,730.0,9170.1,107107.2
93,AKL,ICN,365.0,9656.3,56392.6
94,AKL,KUL,365.0,8703.4,50827.6
95,AKL,LAX,730.0,10486.6,122483.0
96,AKL,MEL,2555.0,2637.4,107815.3
97,AKL,NRT,1095.0,8836.3,154812.3
98,AKL,PVG,730.0,9368.5,109424.3
99,AKL,SFO,730.0,10509.0,122744.6
100,AKL,SIN,1095.0,8408.3,147314.0
101,AKL,SYD,3650.0,2159.6,126119.5
102,ALC,AMS,1095.0,1613.2,28262.4
103,ALC,ARN,730.0,2711.3,31667.9
104,ALC,BCN,730.0,403.9,4717.0
105,ALC,BHX,1460.0,1578.5,36873.8
106,ALC,BRS,1095.0,1466.5,25692.6
107,ALC,BRU,1460.0,1458.0,34059.2
108,ALC,CGN,365.0,1524.4,8902.5
109,ALC,CPH,1095.0,2164.5,37922.7
110,ALC,DME,1460.0,3424.9,80006.3
111,ALC,DUB,730.0,1739.1,20313.3
112,ALC,DUS,365.0,1555.7,9085.2
113,ALC,EDI,1095.0,1975.7,34613.7
114,ALC,FCO,730.0,1156.1,13503.5
115,ALC,FRA,365.0,1493.3,8721.0
116,ALC,GLA,1095.0,1977.0,34637.0
117,ALC,GVA,365.0,1040.1,6074.2
118,ALC,HAM,730.0,1886.7,22036.3
119,ALC,HEL,365.0,3029.9,17694.9
120,ALC,IBZ,730.0,180.3,2105.5
121,ALC,LGW,2190.0,1430.9,50139.2
122,ALC,LPA,365.0,1793.6,10474.9
123,ALC,LTN,730.0,1511.5,17654.2
124,ALC,MAD,365.0,354.9,2072.5
125,ALC,MAN,1825.0,1681.0,49085.8
126,ALC,MUC,730.0,1496.8,17482.1
127,ALC,ORY,730.0,1184.7,13837.1
128,ALC,OSL,730.0,2561.9,29922.6
129,ALC,PMI,1095.0,318.2,5575.4
130,ALC,STN,365.0,1513.8,8840.7
131,ALC,STR,365.0,1398.1,8165.2
132,ALC,TFS,365.0,1870.9,10925.8
133,ALC,TXL,365.0,1913.2,11173.3
134,ALC,ZRH,365.0,1260.4,7360.6
135,AMM,AMS,365.0,3402.0,19867.7
136,AMM,ATH,365.0,1297.1,7575.1
137,AMM,AUH,1095.0,1998.2,35008.1
138,AMM,BCN,730.0,3188.6,37243.2
139,AMM,BKK,730.0,6840.7,79898.9
140,AMM,BOM,365.0,3937.9,22997.4
141,AMM,CAI,1095.0,472.4,8275.9
142,AMM,CDG,730.0,3381.2,39492.9
143,AMM,DEL,365.0,3945.4,23041.3
144,AMM,DME,730.0,2638.1,30812.4
145,AMM,DOH,730.0,1683.7,19665.4
146,AMM,DXB,1460.0,2021.5,47223.3
147,AMM,FCO,1095.0,2383.1,41752.7
148,AMM,FRA,1095.0,3044.6,53340.9
149,AMM,GVA,365.0,3018.4,17627.6
150,AMM,IST,730.0,1242.8,14515.6
151,AMM,JED,1460.0,1159.9,27095.4
152,AMM,JFK,1095.0,9214.8,161442.6
153,AMM,KBP,365.0,2113.1,12340.8
154,AMM,KWI,1095.0,1180.1,20674.6
155,AMM,LHR,730.0,3683.0,43017.7
156,AMM,MAD,730.0,3651.7,42651.5
157,AMM,MCT,730.0,2368.3,27662.2
158,AMM,MUC,730.0,2747.2,32087.2
159,AMM,ORD,1095.0,10013.8,175441.0
160,AMM,OTP,730.0,1668.0,19482.0
161,AMM,RUH,1095.0,1288.6,22576.2
162,AMM,SHJ,365.0,2031.9,11866.2
163,AMM,TLV,730.0,109.3,1276.8
164,AMM,TXL,730.0,2952.6,34486.1
165,AMM,VIE,1095.0,2448.6,42898.6
166,AMM,YUL,1095.0,8897.0,155875.5
167,AMM,ZRH,365.0,2905.8,16969.9
168,AMS,ACE,365.0,3005.9,17554.4
169,AMS,AGP,1095.0,1883.7,33001.7
170,AMS,ALC,1095.0,1613.2,28262.4
171,AMS,AMM,365.0,3402.0,19867.7
172,AMS,ARN,1460.0,1152.2,26914.7
173,AMS,ATH,730.0,2181.7,25482.8
174,AMS,ATL,730.0,7065.8,82528.4
175,AMS,AUH,2555.0,5191.6,212231.1
176,AMS,AYT,730.0,2654.8,31008.2
177,AMS,BCN,1825.0,1241.1,36241.2
178,AMS,BHX,730.0,442.1,5164.1
179,AMS,BKK,1095.0,9207.6,161316.3
180,AMS,BOM,730.0,6859.5,80119.1
181,AMS,BOS,730.0,5547.4,64793.1
182,AMS,BRS,1095.0,524.0,9180.4
183,AMS,BRU,365.0,157.7,920.7
184,AMS,BUD,365.0,1169.2,6828.2
185,AMS,CAI,730.0,3287.3,38395.7
186,AMS,CAN,730.0,9139.7,106752.2
187,AMS,CDG,1095.0,398.3,6977.7
188,AMS,CGN,730.0,229.6,2682.2
189,AMS,CMN,730.0,2327.1,27180.6
190,AMS,CPH,2190.0,633.4,22193.8
191,AMS,CTA,1095.0,1834.9,32147.0
192,AMS,CTU,730.0,7942.1,92763.3
193,AMS,DEL,365.0,6363.5,37162.6
194,AMS,DFW,730.0,7900.1,92273.2
195,AMS,DOH,1095.0,4923.1,86252.6
196,AMS,DTW,730.0,6323.6,73859.7
197,AMS,DUB,365.0,750.2,4380.9
198,AMS,DUS,730.0,178.3,2083.1
199,AMS,DXB,1095.0,5168.6,90554.5
200,AMS,EDI,730.0,666.4,7783.1
201,AMS,EWR,1460.0,5868.5,137087.3
202,AMS,FAO,365.0,1969.8,11503.5
203,AMS,FCO,1460.0,1296.8,30293.7
204,AMS,FRA,1460.0,366.6,8563.2
205,AMS,GIG,365.0,9559.7,55828.6
206,AMS,GLA,1095.0,718.0,12578.6
207,AMS,GRU,365.0,9774.9,57085.5
208,AMS,GVA,730.0,682.0,7965.7
209,AMS,HAM,1095.0,379.4,6646.3
210,AMS,HEL,1460.0,1521.3,35537.7
211,AMS,HER,365.0,2480.9,14488.7
212,AMS,HGH,730.0,8922.0,104209.3
213,AMS,HKG,730.0,9274.4,108325.3
214,AMS,IAD,1460.0,6207.1,144997.8
215,AMS,IAH,1460.0,8049.3,188031.5
216,AMS,IBZ,1095.0,1516.7,26571.9
217,AMS,ICN,730.0,8552.0,99887.1
218,AMS,IST,730.0,2183.8,25506.3
219,AMS,JFK,730.0,5847.5,68299.1
220,AMS,JNB,365.0,9017.3,52661.0
221,AMS,KBP,730.0,1818.6,21241.8
222,AMS,KIX,365.0,9241.3,53969.1
223,AMS,KUL,1095.0,10236.6,179345.9
224,AMS,KWI,1095.0,4355.3,76304.5
225,AMS,LAX,730.0,8956.0,104605.5
226,AMS,LED,730.0,1773.4,20713.7
227,AMS,LGW,730.0,364.7,4259.7
228,AMS,LHR,1825.0,370.4,10817.1
229,AMS,LIM,730.0,10519.9,122872.6
230,AMS,LIS,2920.0,1846.3,86259.0
231,AMS,LPA,365.0,3182.8,18587.4
232,AMS,LTN,365.0,353.9,2066.5
233,AMS,LYS,730.0,732.4,8554.0
234,AMS,MAD,1095.0,1460.7,25590.7
235,AMS,MAN,1095.0,486.7,8527.3
236,AMS,MEX,365.0,9206.3,53764.7
237,AMS,MLA,730.0,1982.8,23159.7
238,AMS,MRS,730.0,986.8,11525.9
239,AMS,MSP,730.0,6684.9,78079.5
240,AMS,MUC,730.0,664.2,7757.5
241,AMS,MXP,365.0,796.6,4652.4
242,AMS,NBO,1095.0,6677.4,116988.8
243,AMS,NCE,1095.0,978.9,17149.7
244,AMS,NRT,365.0,9318.8,54421.7
245,AMS,OPO,1460.0,1595.0,37258.6
246,AMS,ORD,1460.0,6611.9,154453.1
247,AMS,OSL,1095.0,950.7,16656.2
248,AMS,OTP,730.0,1783.2,20827.8
249,AMS,PDX,730.0,8028.8,93776.5
250,AMS,PEK,730.0,7827.1,91420.5
251,AMS,PHL,730.0,5997.1,70045.5
252,AMS,PMI,1095.0,1427.0,25000.6
253,AMS,PRG,1460.0,705.0,16469.0
254,AMS,PTY,730.0,8813.5,102941.3
255,AMS,PVG,1095.0,8910.5,156111.1
256,AMS,RIX,730.0,1333.2,15572.2
257,AMS,SAW,1095.0,2246.5,39358.5
258,AMS,SEA,730.0,7840.0,91571.2
259,AMS,SFO,730.0,8785.5,102614.9
260,AMS,SIN,730.0,10513.9,122802.5
261,AMS,STN,365.0,312.9,1827.2
262,AMS,STR,365.0,511.0,2984.3
263,AMS,SVO,730.0,2144.3,25046.0
264,AMS,TFS,365.0,3223.9,18827.7
265,AMS,TLV,1460.0,3312.0,77368.1
266,AMS,TPE,730.0,9442.5,110288.6
267,AMS,TXL,730.0,578.2,6753.2
268,AMS,VCE,1095.0,936.9,16414.7
269,AMS,VIE,730.0,959.5,11206.7
270,AMS,WAW,730.0,1101.2,12861.7
271,AMS,XMN,730.0,9317.2,108824.8
272,AMS,YUL,730.0,5503.1,64276.6
273,AMS,YVR,730.0,7707.3,90020.8
274,AMS,YYC,1095.0,7167.6,125576.8
275,AMS,YYZ,1095.0,5989.7,104938.9
276,AMS,ZRH,1095.0,602.8,10561.6
277,ARN,ADD,730.0,5900.2,68914.1
278,ARN,AGP,730.0,3015.8,35224.9
279,ARN,ALC,730.0,2711.3,31667.9
280,ARN,AMS,1460.0,1152.2,26914.7
281,ARN,ATH,730.0,2452.3,28642.7
282,ARN,BCN,1460.0,2314.9,54076.6
283,ARN,BHX,365.0,1451.5,8476.9
284,ARN,BKK,1095.0,8296.2,145349.6
285,ARN,BRU,365.0,1287.8,7520.5
286,ARN,BUD,365.0,1361.9,7953.3
287,ARN,CDG,1095.0,1539.2,26966.0
288,ARN,CGN,365.0,1188.8,6942.4
289,ARN,CMN,365.0,3467.9,20252.7
290,ARN,CPH,1095.0,546.8,9579.1
291,ARN,CTA,365.0,2475.2,14455.4
292,ARN,DOH,365.0,4618.1,26969.7
293,ARN,DUB,730.0,1624.8,18977.1
294,ARN,DUS,1095.0,1162.4,20365.3
295,ARN,DXB,730.0,4785.1,55890.1
296,ARN,EDI,730.0,1320.3,15420.5
297,ARN,EWR,730.0,6307.2,73667.9
298,ARN,FAO,365.0,3119.7,18219.3
299,ARN,FCO,730.0,2023.1,23629.6
300,ARN,FLL,365.0,7962.1,46498.9
301,ARN,FRA,1095.0,1223.0,21426.7
302,ARN,GVA,1460.0,1682.7,39307.9
303,ARN,HAM,730.0,825.5,9641.9
304,ARN,HEL,1825.0,398.6,11638.2
305,ARN,IST,730.0,2176.0,25415.7
306,ARN,JFK,365.0,6292.0,36745.2
307,ARN,LAX,365.0,8863.0,51760.1
308,ARN,LED,730.0,691.2,8072.8
309,ARN,LGW,365.0,1475.3,8616.0
310,ARN,LHR,2190.0,1462.5,51247.3
311,ARN,LIS,730.0,2998.3,35020.2
312,ARN,LPA,365.0,4334.9,25316.0
313,ARN,MAD,730.0,2601.3,30383.8
314,ARN,MAN,1095.0,1415.3,24795.7
315,ARN,MLA,365.0,2657.5,15519.5
316,ARN,MUC,1095.0,1317.3,23079.3
317,ARN,NCE,730.0,1920.0,22425.1
318,ARN,ORD,365.0,6855.7,40037.2
319,ARN,ORY,365.0,1572.8,9185.4
320,ARN,OSL,1095.0,386.5,6772.0
321,ARN,PEK,730.0,6691.0,78150.4
322,ARN,PMI,730.0,2474.8,28905.2
323,ARN,PRG,1460.0,1087.1,25394.7
324,ARN,RIX,1095.0,465.7,8159.4
325,ARN,SAW,365.0,2229.5,13020.5
326,ARN,SVO,730.0,1219.8,14246.8
327,ARN,TLV,365.0,3320.5,19391.9
328,ARN,TXL,1825.0,838.8,24492.2
329,ARN,VCE,365.0,1616.0,9437.4
330,ARN,VIE,1460.0,1286.3,30048.9
331,ARN,WAW,365.0,853.6,4985.1
332,ARN,ZRH,730.0,1486.4,17361.4
333,ATH,AMM,365.0,1297.1,7575.1
334,ATH,AMS,730.0,2181.7,25482.8
335,ATH,ARN,730.0,2452.3,28642.7
336,ATH,AUH,730.0,3263.1,38112.9
337,ATH,BCN,1460.0,1904.5,44489.3
338,ATH,BRU,730.0,2101.4,24544.7
339,ATH,BUD,365.0,1122.3,6554.5
340,ATH,CAI,730.0,1107.2,12931.8
341,ATH,CDG,1095.0,2108.7,36943.6
342,ATH,CGN,365.0,1952.7,11403.7
343,ATH,CPH,730.0,2139.5,24988.8
344,ATH,DME,730.0,2206.3,25769.6
345,ATH,DOH,730.0,2957.9,34547.9
346,ATH,DUB,365.0,2875.7,16794.0
347,ATH,DUS,730.0,2003.4,23400.0
348,ATH,DXB,365.0,3271.9,19107.7
349,ATH,EDI,365.0,2848.0,16632.4
350,ATH,FCO,1460.0,1086.3,25375.6
351,ATH,FRA,730.0,1815.6,21206.7
352,ATH,GVA,1095.0,1731.3,30332.1
353,ATH,HAM,365.0,2045.2,11944.1
354,ATH,HEL,365.0,2489.7,14539.6
355,ATH,HER,1460.0,309.1,7219.8
356,ATH,IST,1095.0,554.3,9711.8
357,ATH,KBP,365.0,1485.5,8675.0
358,ATH,LED,365.0,2472.0,14436.8
359,ATH,LGW,365.0,2393.0,13975.2
360,ATH,LHR,1460.0,2426.8,56689.3
361,ATH,LYS,1095.0,1780.5,31194.0
362,ATH,MAD,730.0,2377.1,27764.9
363,ATH,MAN,1095.0,2636.6,46194.0
364,ATH,MLA,365.0,872.6,5095.7
365,ATH,MRS,1095.0,1688.5,29582.0
366,ATH,MUC,1095.0,1517.7,26589.7
367,ATH,MXP,1095.0,1520.3,26636.5
368,ATH,ORY,730.0,2105.0,24586.9
369,ATH,OSL,1095.0,2628.9,46059.1
370,ATH,OTP,1095.0,759.1,13298.7
371,ATH,PHL,1095.0,8083.1,141615.2
372,ATH,PRG,365.0,1555.6,9084.9
373,ATH,RIX,365.0,2111.3,12329.9
374,ATH,SAW,365.0,566.3,3307.0
375,ATH,STN,365.0,2407.9,14062.2
376,ATH,STR,365.0,1682.2,9823.8
377,ATH,SVO,365.0,2241.9,13092.9
378,ATH,TLV,730.0,1193.7,13942.2
379,ATH,TXL,730.0,1823.1,21293.6
380,ATH,VCE,730.0,1276.0,14903.2
381,ATH,VIE,730.0,1278.9,14937.5
382,ATH,WAW,730.0,1599.1,18677.1
383,ATH,YUL,365.0,7631.9,44570.0
384,ATH,YYZ,365.0,8128.5,47470.4
385,ATH,ZRH,365.0,1639.5,9574.6
386,ATL,AMS,730.0,7065.8,82528.4
387,ATL,BOG,365.0,3388.7,19790.2
388,ATL,BOS,2920.0,1521.6,71087.0
389,ATL,BRU,1095.0,7106.0,124497.5
390,ATL,BSB,365.0,6728.7,39295.6
391,ATL,BWI,2555.0,927.5,37917.5
392,ATL,CDG,1460.0,7055.7,164821.8
393,ATL,CLT,2920.0,364.6,17032.6
394,ATL,CUN,3285.0,1421.7,74722.3
395,ATL,DCA,2555.0,880.1,35978.2
396,ATL,DEN,4015.0,1926.6,123765.9
397,ATL,DFW,4015.0,1174.5,75451.9
398,ATL,DTW,2920.0,958.2,44767.0
399,ATL,DUB,1095.0,6322.9,110777.3
400,ATL,DUS,1095.0,7236.4,126781.4
401,ATL,DXB,365.0,12209.4,71302.8
402,ATL,EWR,2555.0,1199.3,49028.1
403,ATL,FCO,1825.0,8085.3,236092.1
404,ATL,FLL,2920.0,936.4,43750.5
405,ATL,FRA,1825.0,7409.6,216361.8
406,ATL,GIG,730.0,7641.5,89252.6
407,ATL,GRU,365.0,7510.3,43860.0
408,ATL,HNL,365.0,7233.9,42246.1
409,ATL,IAD,3285.0,859.0,45150.7
410,ATL,IAH,3285.0,1107.6,58213.5
411,ATL,ICN,730.0,11487.1,134169.7
412,ATL,JFK,3650.0,1222.1,71370.3
413,ATL,JNB,365.0,13582.6,79322.3
414,ATL,LAS,2555.0,2804.8,114661.4
415,ATL,LAX,3650.0,3125.8,182545.3
416,ATL,LGA,2920.0,1224.9,57225.8
417,ATL,LHR,2920.0,6760.8,315862.9
418,ATL,LIM,365.0,5135.8,29992.8
419,ATL,MAD,1460.0,6961.6,162623.4
420,ATL,MAN,1460.0,6581.0,153732.0
421,ATL,MCO,2920.0,650.7,30402.4
422,ATL,MDW,1825.0,952.0,27797.2
423,ATL,MEX,2555.0,2143.4,87622.0
424,ATL,MIA,4380.0,959.1,67211.2
425,ATL,MSP,2920.0,1459.7,68198.0
426,ATL,MSY,3285.0,683.6,35928.5
427,ATL,MUC,1095.0,7702.0,134938.5
428,ATL,NRT,365.0,11002.3,64253.2
429,ATL,ORD,6935.0,976.3,108333.3
430,ATL,PDX,1825.0,3489.2,101883.5
431,ATL,PHL,3285.0,1071.6,56322.9
432,ATL,PHX,3285.0,2549.1,133979.7
433,ATL,PTY,1095.0,2779.9,48704.6
434,ATL,SAN,2920.0,3037.7,141920.6
435,ATL,SEA,2190.0,3505.0,122814.4
436,ATL,SFO,3285.0,3434.7,180528.8
437,ATL,SJU,2555.0,2490.9,101829.7
438,ATL,SLC,2190.0,2553.6,89478.3
439,ATL,STL,2920.0,779.0,36395.1
440,ATL,STR,1095.0,7516.6,131691.5
441,ATL,TPA,2555.0,655.0,26774.4
442,ATL,YUL,1095.0,1600.3,28037.2
443,ATL,YYZ,2190.0,1191.1,41735.3
444,ATL,ZRH,365.0,7531.5,43984.0
445,AUH,AMM,1095.0,1998.2,35008.1
446,AUH,AMS,2555.0,5191.6,212231.1
447,AUH,ATH,730.0,3263.1,38112.9
448,AUH,BKK,1095.0,4966.2,87007.1
449,AUH,BLR,1095.0,2723.1,47708.8
450,AUH,BOM,1460.0,1970.9,46039.8
451,AUH,BRU,1095.0,5166.7,90520.4
452,AUH,CAI,730.0,2378.0,27774.7
453,AUH,CDG,730.0,5251.9,61341.7
454,AUH,CGK,1095.0,6574.7,115188.6
455,AUH,CMB,1825.0,3300.1,96363.2
456,AUH,CMN,1095.0,6052.8,106044.6
457,AUH,CTU,1095.0,4871.8,85354.3
458,AUH,DEL,1460.0,2277.4,53199.7
459,AUH,DME,730.0,3706.7,43294.6
460,AUH,DOH,730.0,320.9,3748.3
461,AUH,DUB,730.0,5940.8,69388.3
462,AUH,DUS,1095.0,5026.3,88060.5
463,AUH,FCO,730.0,4340.1,50692.4
464,AUH,FRA,1825.0,4862.0,141969.4
465,AUH,GRU,365.0,12121.0,70786.4
466,AUH,GVA,730.0,4926.3,57539.4
467,AUH,HKG,730.0,6006.8,70159.1
468,AUH,IAD,730.0,11386.8,132997.7
469,AUH,ICN,1095.0,6837.3,119789.8
470,AUH,IST,730.0,3038.9,35494.0
471,AUH,JED,1095.0,1613.6,28270.7
472,AUH,JFK,730.0,11031.4,128846.7
473,AUH,JNB,1460.0,6298.6,147134.3
474,AUH,KUL,1460.0,5588.4,130544.4
475,AUH,KWI,1825.0,850.4,24831.7
476,AUH,LHR,1825.0,5516.7,161086.6
477,AUH,MAA,730.0,2965.9,34642.2
478,AUH,MAN,365.0,5678.3,33161.1
479,AUH,MCT,4380.0,380.7,26676.1
480,AUH,MEL,1095.0,11651.7,204136.9
481,AUH,MNL,730.0,6984.2,81575.5
482,AUH,MUC,1095.0,4580.0,80241.6
483,AUH,MXP,730.0,4713.7,55056.2
484,AUH,NBO,1095.0,3443.2,60324.2
485,AUH,NRT,730.0,8088.4,94472.9
486,AUH,ORD,730.0,11687.9,136514.6
487,AUH,PEK,1825.0,5954.9,173882.3
488,AUH,PVG,730.0,6549.9,76502.9
489,AUH,RUH,1095.0,805.4,14110.3
490,AUH,SGN,730.0,5680.2,66344.6
491,AUH,SIN,2190.0,5885.8,206236.7
492,AUH,SYD,1095.0,12061.4,211314.9
493,AUH,TXL,730.0,4663.7,54471.6
494,AUH,YYZ,730.0,11122.3,129908.8
495,AYT,AMS,730.0,2654.8,31008.2
496,AYT,BHX,1095.0,3060.4,53617.5
497,AYT,BRS,730.0,3082.5,36004.1
498,AYT,BRU,730.0,2597.8,30341.9
499,AYT,CGN,1825.0,2432.1,71016.8
500,AYT,CPH,365.0,2489.1,14536.2
501,AYT,DUS,1825.0,2478.7,72378.3
502,AYT,FRA,1460.0,2297.9,53678.2
503,AYT,GLA,365.0,3368.2,19670.1
504,AYT,GVA,365.0,2288.6,13365.3
505,AYT,HAM,1825.0,2454.2,71661.3
506,AYT,HEL,365.0,2636.7,15398.6
507,AYT,IST,1095.0,517.7,9070.7
508,AYT,LED,365.0,2546.8,14873.5
509,AYT,LGW,1825.0,2908.1,84915.3
510,AYT,LTN,730.0,2949.1,34445.5
511,AYT,MAN,1825.0,3130.4,91408.4
512,AYT,MUC,1460.0,2000.9,46741.8
513,AYT,ORY,365.0,2642.7,15433.5
514,AYT,OSL,365.0,2937.9,17157.4
515,AYT,PRG,365.0,1974.8,11532.8
516,AYT,SAW,1095.0,463.1,8113.4
517,AYT,STR,1460.0,2182.4,50981.1
518,AYT,SVO,730.0,2178.2,25441.9
519,AYT,TXL,1095.0,2211.8,38750.3
520,AYT,VIE,1460.0,1701.9,39757.2
521,AYT,ZRH,1095.0,2165.6,37940.8
522,BCN,ACE,1095.0,1974.1,34586.7
523,BCN,AGP,1095.0,766.0,13419.7
524,BCN,ALC,730.0,403.9,4717.0
525,BCN,AMM,730.0,3188.6,37243.2
526,BCN,AMS,1825.0,1241.1,36241.2
527,BCN,ARN,1460.0,2314.9,54076.6
528,BCN,ATH,1460.0,1904.5,44489.3
529,BCN,BHX,730.0,1273.7,14877.4
530,BCN,BOG,365.0,8513.4,49718.2
531,BCN,BRS,365.0,1179.7,6889.7
532,BCN,BRU,1825.0,1083.8,31646.5
533,BCN,BUD,730.0,1522.2,17779.2
534,BCN,CAI,365.0,2906.2,16971.9
535,BCN,CDG,1825.0,858.7,25075.1
536,BCN,CGN,365.0,1132.7,6615.2
537,BCN,CMN,1460.0,1226.5,28651.4
538,BCN,CPH,1460.0,1768.6,41313.9
539,BCN,CTA,730.0,1193.3,13937.4
540,BCN,DME,1095.0,3028.7,53062.8
541,BCN,DOH,730.0,4861.5,56782.4
542,BCN,DUB,730.0,1485.2,17347.3
543,BCN,DUS,1460.0,1167.4,27270.8
544,BCN,DXB,365.0,5175.7,30226.1
545,BCN,EDI,1095.0,1676.6,29373.5
546,BCN,EWR,730.0,6176.6,72142.9
547,BCN,FCO,1460.0,846.9,19783.1
548,BCN,FRA,1460.0,1093.6,25546.8
549,BCN,GLA,365.0,1688.1,9858.6
550,BCN,GRU,365.0,8764.9,51186.9
551,BCN,GVA,730.0,637.4,7445.4
552,BCN,HAM,1460.0,1492.6,34866.3
553,BCN,HEL,1460.0,2628.1,61391.4
554,BCN,IBZ,1095.0,276.2,4838.2
555,BCN,IST,365.0,2219.8,12963.8
556,BCN,JFK,3285.0,6150.2,323255.9
557,BCN,KBP,730.0,2429.2,28372.7
558,BCN,LED,1095.0,2821.9,49440.1
559,BCN,LGW,2190.0,1109.1,38861.2
560,BCN,LHR,1095.0,1147.7,20107.9
561,BCN,LIS,1460.0,994.0,23219.8
562,BCN,LPA,1095.0,2174.5,38097.1
563,BCN,LTN,365.0,1190.8,6954.1
564,BCN,LYS,1095.0,548.6,9612.0
565,BCN,MAD,1095.0,482.9,8460.9
566,BCN,MAN,1095.0,1379.5,24169.5
567,BCN,MIA,1825.0,7544.9,220309.7
568,BCN,MLA,730.0,1234.2,14415.5
569,BCN,MRS,730.0,351.2,4102.6
570,BCN,MUC,1095.0,1094.6,19177.9
571,BCN,MXP,1460.0,720.8,16837.8
572,BCN,NCE,1095.0,496.3,8695.1
573,BCN,OPO,1825.0,898.7,26240.9
